NOME DO EVENTO,AMBIENTE,PRODUTO,FUNCIONALIDADE,SUBFUNCIONALIDADE,CATEGORIA,TELA,ACAO,ELEMENTO,ROTULO,USER_ID,TIPO_USUARIO,OPCAO_SELECIONADA_1,OPCAO_SELECIONADA_2,OPCAO_SELECIONADA_3,OPCAO_SELECIONADA_4,OPCAO_SELECIONADA_5,OPCAO_SELECIONADA_6
screen_view,app-saude,,inicio,,,,app-saude:inicio,,,,,,,,,,,
click,app-saude,,inicio,,,app-saude:inicio,app-saude:inicio,clique,botao,menu-inferior:inicio,,,,,,,,
click,app-saude,,inicio,,,app-saude:inicio,app-saude:inicio,clique,botao,menu-inferior:servicos,,,,,,,,
screen_view,app-saude,,inicio,,,,app-saude:inicio,,,,,,,,,,,
click,app-saude,,inicio,,,app-saude:inicio,app-saude:inicio,clique,botao,menu-inferior:ajustes,,,,,,,,
screen_view,app-saude,,inicio,,,,app-saude:inicio,,,,,,,,,,,
screen_view,app-saude,,inicio,,,,app-saude:inicio,,,,,,,,,,,
click,app-saude,,inicio,,,app-saude:inicio,app-saude:inicio,clique,botao,menu-inferior:inicio,,,,,,,,
click,app-saude,,inicio,,,app-saude:inicio,app-saude:inicio,clique,botao,psicologia-online,,,,,,,,
click,app-saude,,inicio,,,app-saude:inicio,app-saude:inicio,clique,botao,menu-inferior:servicos,,,,,,,,
screen_view,app-saude,,inicio,,,,app-saude:inicio,,,,,,,,,,,
